PRODUCT_CATEGORY,REVENUE,STORE_LOCATION,TRANSACTION_DATE,TRANSACTION_TIME,TIME_BUCKET
Coffee beans,360,Hell's Kitchen,17/06/2023,55:47.0,01.Morning
Coffee beans,360,Hell's Kitchen,17/05/2023,05:20.0,01.Morning
Coffee beans,360,Hell's Kitchen,17/05/2023,18:31.0,01.Morning
Coffee beans,360,Hell's Kitchen,30/06/2023,18:31.0,01.Morning
Coffee beans,360,Hell's Kitchen,17/06/2023,41:11.0,01.Morning
Coffee beans,360,Hell's Kitchen,17/06/2023,18:31.0,01.Morning
Branded,72,Lower Manhattan,09/06/2023,04:04.0,01.Morning
Branded,56,Lower Manhattan,09/06/2023,49:26.0,01.Morning
Coffee beans,45,Lower Manhattan,10/05/2023,20:56.0,01.Morning
Coffee beans,45,Astoria,09/05/2023,04:39.0,02.Afternoon
Coffee beans,45,Hell's Kitchen,25/05/2023,49:41.0,01.Morning
Coffee beans,45,Hell's Kitchen,08/06/2023,29:02.0,01.Morning
Coffee beans,45,Lower Manhattan,27/06/2023,49:34.0,01.Morning
Coffee beans,45,Astoria,19/06/2023,37:12.0,03.Evening
Coffee beans,45,Hell's Kitchen,18/06/2023,03:38.0,01.Morning
Coffee beans,45,Lower Manhattan,30/05/2023,20:43.0,01.Morning
Coffee beans,45,Astoria,20/06/2023,56:39.0,03.Evening
Coffee beans,45,Hell's Kitchen,21/05/2023,03:04.0,02.Afternoon
Coffee beans,45,Astoria,15/05/2023,18:51.0,03.Evening
Coffee beans,45,Hell's Kitchen,19/05/2023,33:33.0,01.Morning
Coffee beans,45,Hell's Kitchen,12/06/2023,02:14.0,01.Morning
Coffee beans,45,Astoria,20/05/2023,47:06.0,01.Morning
Coffee beans,45,Hell's Kitchen,14/05/2023,53:04.0,01.Morning
Coffee beans,45,Lower Manhattan,19/05/2023,58:12.0,01.Morning
Coffee beans,45,Hell's Kitchen,21/05/2023,24:52.0,01.Morning
Coffee beans,45,Lower Manhattan,13/05/2023,22:32.0,02.Afternoon
Coffee beans,45,Hell's Kitchen,13/05/2023,51:56.0,01.Morning
Coffee beans,45,Hell's Kitchen,11/05/2023,24:31.0,01.Morning
Coffee beans,45,Lower Manhattan,13/06/2023,22:32.0,02.Afternoon
Coffee beans,45,Astoria,09/06/2023,04:39.0,02.Afternoon
Coffee beans,45,Hell's Kitchen,14/06/2023,30:08.0,01.Morning
Coffee beans,45,Astoria,20/06/2023,50:58.0,01.Morning
Coffee beans,45,Astoria,20/05/2023,50:58.0,01.Morning
Coffee beans,45,Hell's Kitchen,21/05/2023,52:55.0,04.Night
Coffee beans,45,Lower Manhattan,31/05/2023,22:32.0,02.Afternoon
Coffee beans,45,Lower Manhattan,12/06/2023,16:12.0,02.Afternoon
Coffee beans,45,Hell's Kitchen,23/06/2023,25:03.0,01.Morning
Coffee beans,45,Hell's Kitchen,21/06/2023,52:55.0,04.Night
Coffee beans,45,Lower Manhattan,30/05/2023,48:23.0,01.Morning
Coffee beans,45,Hell's Kitchen,19/05/2023,47:39.0,01.Morning
Coffee beans,45,Astoria,20/05/2023,34:02.0,03.Evening
Coffee beans,45,Astoria,19/05/2023,58:02.0,01.Morning
Coffee beans,45,Hell's Kitchen,23/05/2023,25:03.0,01.Morning
Coffee beans,45,Lower Manhattan,12/06/2023,21:25.0,01.Morning
Coffee beans,45,Lower Manhattan,18/06/2023,48:23.0,01.Morning
Coffee beans,45,Hell's Kitchen,14/06/2023,53:04.0,01.Morning
Coffee beans,45,Hell's Kitchen,21/06/2023,25:26.0,01.Morning
Coffee beans,45,Hell's Kitchen,30/06/2023,25:26.0,01.Morning
Coffee beans,45,Astoria,08/06/2023,25:10.0,02.Afternoon
Coffee beans,45,Lower Manhattan,11/06/2023,53:09.0,02.Afternoon
Coffee beans,45,Astoria,19/06/2023,18:51.0,03.Evening
Coffee beans,45,Lower Manhattan,19/06/2023,58:12.0,01.Morning
Coffee beans,45,Hell's Kitchen,13/06/2023,51:56.0,01.Morning
Coffee beans,45,Lower Manhattan,30/06/2023,03:56.0,02.Afternoon
Coffee beans,45,Lower Manhattan,27/05/2023,12:41.0,02.Afternoon
Coffee beans,45,Hell's Kitchen,14/05/2023,30:08.0,01.Morning
Coffee beans,45,Lower Manhattan,27/05/2023,49:34.0,01.Morning
Coffee beans,45,Astoria,15/06/2023,37:12.0,03.Evening
Coffee beans,45,Lower Manhattan,22/05/2023,20:52.0,01.Morning
Coffee beans,45,Hell's Kitchen,16/05/2023,09:53.0,01.Morning
Coffee beans,45,Astoria,08/05/2023,25:10.0,02.Afternoon
Coffee beans,45,Lower Manhattan,10/06/2023,20:56.0,01.Morning
Coffee beans,45,Hell's Kitchen,17/06/2023,38:31.0,01.Morning
Coffee beans,45,Astoria,16/05/2023,22:54.0,01.Morning
